,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
59,59,TrialState.COMPLETE,0.8193463117807933,2020-01-01 12:47:10.807338,2020-01-01 12:48:46.123108,0.7143524238266755,5,0.7519121749145351,0.5378068577841569,1.2401791501212165e-06,5,207,59,59
60,60,TrialState.COMPLETE,0.8089100271473176,2020-01-01 12:48:46.126862,2020-01-01 12:49:44.786137,0.41318288400377823,1,0.7879448093838869,0.000370433651912947,3.482529293506971e-07,14,182,84,60
61,61,TrialState.COMPLETE,0.8197046414018805,2020-01-01 12:49:44.789812,2020-01-01 12:51:04.950452,0.9514830915425017,1,0.8172834518036023,1.8826053236892657,4.420137562833937e-08,8,204,66,61
62,62,TrialState.COMPLETE,0.8199453630850961,2020-01-01 12:51:04.959114,2020-01-01 12:52:29.938099,0.9492449519938887,1,0.8428056017492617,2.9091251357311987,1.434255050201628e-07,7,220,46,62
63,63,TrialState.COMPLETE,0.821900337114028,2020-01-01 12:52:29.941795,2020-01-01 12:54:12.617777,0.9719021285212311,1,0.8002570030878365,0.9649220540854456,1.1868747228505892e-08,5,230,70,63
64,64,TrialState.COMPLETE,0.8114090287338742,2020-01-01 12:54:12.623794,2020-01-01 12:55:45.023112,0.9781045624106287,1,0.7827605485192085,0.25552908445168254,1.40103700596797e-08,12,229,71,64
65,65,TrialState.COMPLETE,0.8225100593211788,2020-01-01 12:55:45.026717,2020-01-01 12:57:23.034648,0.8739222810825662,2,0.8427342769451238,0.8370490787108699,1.074763376641512e-08,5,195,81,65
66,66,TrialState.COMPLETE,0.8133080954939537,2020-01-01 12:57:23.038461,2020-01-01 12:58:36.682111,0.881489051884079,3,0.6445950895835755,0.06726753244679395,6.001339645492664e-08,16,165,90,66
67,67,TrialState.COMPLETE,0.8122571420375536,2020-01-01 12:58:36.687887,2020-01-01 12:59:31.040632,0.853887566290934,2,0.8805192190154468,5.270251823320335,1.8953153474164637e-08,20,194,95,67
68,68,TrialState.COMPLETE,0.7752157623182312,2020-01-01 12:59:31.049222,2020-01-01 13:00:20.641344,0.8238492824304429,3,0.8483995203526806,1.239203278701886e-08,2.667093354125679e-07,58,151,80,68
69,69,TrialState.COMPLETE,0.8236261022937976,2020-01-01 13:00:20.655556,2020-01-01 13:01:29.002755,0.6739565938895974,2,0.7644152840378459,1.7455009093449716,1.0042136856192097e-08,9,187,64,69
70,70,TrialState.COMPLETE,0.820314969685383,2020-01-01 13:01:29.007394,2020-01-01 13:02:41.614799,0.6038091454062126,2,0.7625901665567345,0.6459757351063483,6.79985918480002e-06,10,209,62,70
71,71,TrialState.COMPLETE,0.8212340939063004,2020-01-01 13:02:41.621723,2020-01-01 13:03:54.318619,0.673670222890301,3,0.8299792377191386,1.6335385828586637,5.4304344779832945e-08,8,185,64,71
72,72,TrialState.COMPLETE,0.8110342096433671,2020-01-01 13:03:54.322215,2020-01-01 13:04:48.869908,0.6482288804465836,2,0.7291235463620624,9.760750376401052,1.1799432922891468e-08,12,173,57,72
73,73,TrialState.COMPLETE,0.8198580833638645,2020-01-01 13:04:48.879231,2020-01-01 13:06:36.208951,0.7581800288497784,2,0.7074861219238986,0.3084123728239755,1.073261028189772e-07,5,197,77,73
74,74,TrialState.COMPLETE,0.8162630092316414,2020-01-01 13:06:36.212627,2020-01-01 13:07:31.607536,0.6726914787860028,1,0.8151917922198374,3.7584245958832696,1.0056374123574521e-08,15,87,67,74
75,75,TrialState.COMPLETE,0.8191686451346396,2020-01-01 13:07:31.611695,2020-01-01 13:08:50.138747,0.8038875659085609,4,0.8632876975288681,0.9920009439562917,6.605107468653903e-07,9,157,60,75
76,76,TrialState.COMPLETE,0.8116982295299898,2020-01-01 13:08:50.145741,2020-01-01 13:09:51.617076,0.6365483862823793,2,0.7762114700268878,0.1340975799981649,0.000308656354212856,18,186,82,76
77,77,TrialState.COMPLETE,0.8141880199105204,2020-01-01 13:09:51.620936,2020-01-01 13:10:46.019761,0.7248451546808261,1,0.7514321145348456,2.124333136535513,3.6883412658691776e-08,22,244,86,77
78,78,TrialState.COMPLETE,0.7882290360622133,2020-01-01 13:10:46.023611,2020-01-01 13:11:36.095965,0.9145072407994388,2,0.8034915432633786,6.871572800407068,2.0572728658075452e-08,44,212,74,78
79,79,TrialState.COMPLETE,0.8215419667409254,2020-01-01 13:11:36.099437,2020-01-01 13:12:48.543953,0.6943003525219245,1,0.6878399354823912,0.6588969459497457,1.2970144545341668e-05,11,179,54,79
80,80,TrialState.COMPLETE,0.8192609461582153,2020-01-01 13:12:48.547633,2020-01-01 13:14:27.614429,0.8671029943018175,1,0.8397115256317906,0.3520336488965474,2.167608128057706e-06,7,145,64,80
81,81,TrialState.COMPLETE,0.8212987259564205,2020-01-01 13:14:27.623940,2020-01-01 13:16:09.376081,0.9612663212623898,1,0.7963797393970223,1.1069659479236023,2.1071325191276062e-08,5,234,70,81
82,82,TrialState.COMPLETE,0.8232675043031643,2020-01-01 13:16:09.379902,2020-01-01 13:17:38.636721,0.7488583776550899,1,0.7645604160176652,1.5116450851348948,1.0637760897176911e-08,5,202,68,82
83,83,TrialState.COMPLETE,0.8204025342191914,2020-01-01 13:17:38.644077,2020-01-01 13:18:42.304353,0.7869315905644734,1,0.7661798052237955,2.7115679569710758,7.094564862120337e-08,12,204,68,83
